#{"t_start": 1748618611.923424, "env_id": null}
r,l,t
80.898188,50,55.727332
52.640867,50,55.766224
56.956963,50,55.793154
59.500364,50,55.822587
73.243194,50,55.850513
22.416186,50,55.878439
87.341422,50,55.906364
38.046569,50,55.934814
39.349917,50,55.963744
79.656675,50,55.991696
71.074894,50,56.021635
62.400269,50,56.172317
88.845098,50,57.349921
71.173444,50,57.386828
82.964091,50,57.422733
82.704704,50,57.457814
78.123573,50,57.497663
79.814158,50,57.533578
84.569221,50,57.564094
81.5062,50,57.594016
36.171588,50,57.625951
69.900277,50,57.673859
68.202585,50,57.701808
87.317646,50,57.730392
47.068006,50,57.759317
87.086668,50,57.788239
78.467562,50,57.81716
64.883753,50,57.846083
79.603276,50,57.874016
81.69042,50,57.903567
73.705928,50,57.931498
14.556456,50,57.96042
71.492976,50,57.989337
76.899633,50,58.017263
86.909185,50,58.046186
58.565509,50,58.076106
31.376571,50,58.104037
74.171196,50,58.131988
72.091775,50,58.16093
85.413315,50,58.189765
49.014831,50,58.218593
76.888247,50,58.246269
35.651893,50,58.276191
70.633891,50,58.304113
78.665803,50,58.333835
72.54668,50,58.362758
46.465714,50,58.390684
85.591849,50,58.420603
56.79114,50,58.448527
80.764614,50,58.47845
75.970001,50,58.506374
83.320778,50,58.549259
90.448918,50,58.580176
68.243898,50,59.773342
75.809568,50,59.812239
84.582141,50,59.842159
65.342331,50,59.877064
68.041245,50,59.905987
84.221402,50,59.940899
80.942842,50,59.969829
84.089235,50,59.998766
79.532923,50,60.02827
58.284905,50,60.057197
51.285986,50,60.086116
85.35666,50,60.114041
59.389793,50,60.143025
78.36524,50,60.170969
60.297874,50,60.200088
56.018946,50,60.228026
85.496397,50,60.257115
82.426551,50,60.286576
84.300112,50,60.3155
63.254663,50,60.344419
83.454716,50,60.373366
87.305524,50,60.402284
59.102875,50,60.431206
85.237759,50,60.460133
70.872044,50,60.488061
82.390923,50,60.517014
83.965581,50,60.548483
51.809874,50,60.577425
64.219139,50,60.605331
45.59367,50,60.634261
81.051302,50,60.663184
62.349311,50,60.692107
64.521273,50,60.720046
91.327518,50,60.748683
73.962105,50,60.778604
85.324238,50,60.832459
78.124175,50,60.861382
50.669658,50,60.891302
89.933363,50,60.921223
78.903417,50,60.951142
87.908419,50,60.980223
59.457477,50,62.177502
84.350232,50,62.229408
69.534386,50,62.276282
79.83612,50,62.312191
69.242951,50,62.350091
52.251234,50,62.380013
59.294484,50,62.409081
62.579641,50,62.438965
79.069833,50,62.468142
84.197362,50,62.497122
78.659333,50,62.526048
81.317754,50,62.566742
74.789431,50,62.597662
77.900369,50,62.62758
84.604591,50,62.67246
87.71398,50,62.701383
